analysis_id,47zs35781vi2t4g
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.6851094
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_006_001
gene_symbol,Hpca
