gene_symbol,Ncaph
pvalue,0.505221
analysis_id,049ldkv5060ge3w
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
