analysis_id,33k1vug4rbmjjt5
parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
pvalue,0.1702169
gene_symbol,Lime1
gene_accession_id,MGI:1919949
mouse_strain,C57BL
