parameter_name,B1B Cells
pvalue,0.07805609
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
analysis_id,9go1e71m2cds0er
