analysis_id,c82c153c89n8k0y
pvalue,0.7301098
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_symbol,Bmi1
mouse_strain,C57BL
