analysis_id,6qa92q513671loo
mouse_strain,C57BL
gene_symbol,Trdmt1
parameter_name,Startle response
gene_accession_id,MGI:1274787
pvalue,0.8037492
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
