gene_symbol,Kifap3
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5572667
parameter_name,Clavicle
gene_accession_id,MGI:107566
analysis_id,68hx95456yf55e7
