parameter_name,Coat colouration
mouse_life_stage,Early adult
gene_symbol,Golm2
parameter_id,M-G-P_026_001_004
pvalue,0.9735968
mouse_strain,C57BL
analysis_id,qg0ysg8bd32rx2w
gene_accession_id,MGI:2443129
