parameter_id,GMC_906_001_005
pvalue,0.7975449
parameter_name,Potassium
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
analysis_id,27t575s43s9qfe0
mouse_strain,C57BL
gene_symbol,Ppm1j
