gene_symbol,Nipal3
pvalue,0.5074164
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Periphery resting time
analysis_id,ky6j7x29rn4kij1
parameter_id,ESLIM_007_001_007
