analysis_id,22620x2t267e833
pvalue,0.07307719
mouse_strain,C57BL
parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
gene_symbol,Trim46
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
