gene_symbol,Msantd3
gene_accession_id,MGI:1913915
mouse_strain,C57BL
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
pvalue,0.2277204
analysis_id,3086988w85328t6
parameter_id,JAXLA_OFD_020_001
