parameter_name,Startle response
gene_accession_id,MGI:1914556
parameter_id,MGP_CSD_008_001
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3193759
analysis_id,3a136v5o7j3d678
