analysis_id,219qulee5169v32
mouse_strain,C57BL
parameter_name,Corneal opacity
pvalue,0.3559287
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
gene_symbol,Opn3
gene_accession_id,MGI:1338022
