analysis_id,5840p6t6klhh8s8
pvalue,0.4187988
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
gene_symbol,Rab17
parameter_name,PQ
mouse_strain,C57BL
