parameter_name,Corneal vascularization
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
analysis_id,ifv087771grto52
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
gene_symbol,Fgb
pvalue,0.09869151
