parameter_name,Neural tube morphology
parameter_id,IMPC_GEL_060_001
pvalue,0.9689099
mouse_life_stage,E9.5
analysis_id,sbqw1p898s428j1
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
