analysis_id,3t4r190b1wv2k52
parameter_name,PP1 + pulse startle magnitude
gene_accession_id,MGI:2653612
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.229636
parameter_id,ESLIM_011_001_007
gene_symbol,Amigo1
