gene_symbol,Rab17
parameter_id,IMPC_CBC_001_001
mouse_strain,C57BL
pvalue,1.350793
gene_accession_id,MGI:104640
analysis_id,8suw51xjg0r150o
mouse_life_stage,Early adult
parameter_name,Sodium
