parameter_name,Thoracic processes
mouse_life_stage,Early adult
gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
pvalue,0.7474156
analysis_id,oe11ky527x62u10
gene_accession_id,MGI:1920638
