parameter_name,Glucose
gene_accession_id,MGI:2443129
gene_symbol,Golm2
analysis_id,635qdnxs22turfp
mouse_life_stage,Early adult
pvalue,0.9883628
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
