analysis_id,w6u5i3rx73qh347
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,Haemoglobin
pvalue,0.903843
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
