parameter_name,Whole arena resting time
mouse_strain,C57BL
parameter_id,JAXLA_OFD_007_001
analysis_id,qr2q8k4mv0os8a3
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
gene_symbol,Trpa1
pvalue,0.2557595
