parameter_name,Anophthalmia
analysis_id,8i93k7l63j34y40
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
gene_symbol,Sla2
parameter_id,IMPC_GEO_048_002
pvalue,0.4389876
mouse_strain,C57BL
