parameter_id,IMPC_DXA_007_001
analysis_id,ad3cy9eqqp1fddi
mouse_strain,129SV
parameter_name,BMC/Body weight
gene_symbol,Cntfr
pvalue,0.8319629
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
