parameter_name,Distance travelled - total
gene_symbol,Tnni1
analysis_id,7md2u5x6h5v641k
pvalue,0.3019767
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
