parameter_id,IMPC_IMM_006_001
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,a235e0x6449k0i1
gene_accession_id,MGI:95457
pvalue,0.8491088
parameter_name,Others
gene_symbol,Mecom
