parameter_name,Creatinine
pvalue,0.7518078
analysis_id,ld1im293nz5b765
mouse_life_stage,Early adult
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
