analysis_id,8e682rj4cz06mtf
gene_symbol,Trp53rkb
pvalue,0.1938551
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
mouse_strain,C57BL
gene_accession_id,MGI:1914050
