analysis_id,04272650j5sg570
pvalue,0.06372419
mouse_strain,C57BL
parameter_name,Effector NK cells - % of NK cells
gene_symbol,Cds2
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
