parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1921262
parameter_name,Tibia length
pvalue,0.9778009
mouse_strain,C57BL
analysis_id,49bf5554dep7t7l
gene_symbol,Rap2b
mouse_life_stage,Early adult
