analysis_id,ec301vspu58kv5y
gene_accession_id,MGI:88328
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8173116
parameter_name,Coat - color pattern - back
gene_symbol,Tnfsf8
