parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
gene_symbol,Slc17a9
mouse_strain,C57BL
gene_accession_id,MGI:1919107
parameter_id,IMPC_HEM_031_001
pvalue,0.3541717
analysis_id,402651q8hj85669
