gene_symbol,Exd1
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_name,Periphery - Permanence Time
analysis_id,0588m97d3pyf991
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
pvalue,0.3006022
