analysis_id,53a9ws15s2ykcs7
gene_accession_id,MGI:1346344
pvalue,0.1421508
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
mouse_life_stage,Early adult
gene_symbol,Nr0b2
mouse_strain,B6J
