analysis_id,gkc502x2i0gd736
gene_symbol,Amigo1
pvalue,0.2831116
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
