gene_symbol,Fgb
mouse_life_stage,Early adult
analysis_id,j3n8l75z050411f
parameter_name,Breath rate during sleep mean
pvalue,0.8294084
parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:99501
mouse_strain,C57BL
