Parameter_name,Lumbar processes
Parameter_id,IMPC_XRY_065_001
Gene_accession_id,MGI:2446186
Pvalue,0.7129775
Mouse_life_stage,E18.5
Analysis_id,wt8rvmevfa8s68x
mouse_strain,C57BL
gene_symbol,Lpgat1
