analysis_id,1j00b5wh61713r0
gene_accession_id,MGI:1914561
parameter_id,IMPC_IMM_052_001
parameter_name,Eosinophils
mouse_life_stage,Early adult
pvalue,0.1765941
gene_symbol,Nanp
mouse_strain,C57BL
