analysis_id,dk9hg1n04n5d992
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_name,Alkaline phosphatase
pvalue,0.5977017
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_symbol,Rhbg
