gene_symbol,Rap2b
parameter_name,Triglycerides
pvalue,0.534234
mouse_life_stage,Early adult
analysis_id,ej7ted5p662d7ja
gene_accession_id,MGI:1921262
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
