mouse_strain,C3H
parameter_name,Red blood cell count
analysis_id,3077dngdj3368h9
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,ESLIM_016_001_002
pvalue,0.0004257991
gene_symbol,Mecom
