analysis_id,4q12pdy8lk58if2
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
pvalue,0.4730351
parameter_name,HRV
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
