parameter_name,Creatinine
analysis_id,gmcao08909my441
gene_symbol,Dhdds
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
pvalue,0.7492833
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
