mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
mouse_life_stage,Early adult
gene_symbol,Slc2a8
parameter_id,JAX_SLW_013_001
pvalue,0.4830773
analysis_id,qm054dtr3c8p6vx
gene_accession_id,MGI:1860103
