analysis_id,5486pj5fbct2h4r
pvalue,0.708237
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
