gene_symbol,Rab3gap2
analysis_id,8t91256519517z8
mouse_strain,C57BL
parameter_name,Periphery resting time
pvalue,0.3341853
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,HRWLLA_OFD_011_001
