gene_symbol,Nanp
mouse_strain,C57BL
gene_accession_id,MGI:1914561
analysis_id,121mti627p202d9
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
pvalue,0.09149377
mouse_life_stage,Early adult
