analysis_id,wf4xgk3p5vzw573
parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8767711
gene_accession_id,MGI:1919137
parameter_name,Heart weight
gene_symbol,Ppm1j
