parameter_id,ESLIM_007_001_015
parameter_name,Number of centre entries
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
analysis_id,2juwvlsby5t9u2m
gene_symbol,AU040320
pvalue,0.3465905
