analysis_id,22yo902b6dk2z0l
parameter_name,Shape of ribcage
mouse_strain,C57BL
gene_symbol,Zmynd19
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.5177474
