gene_symbol,Rnf114
parameter_name,Total bilirubin
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
analysis_id,qr4911et93w3hq6
gene_accession_id,MGI:1933159
pvalue,0.765662
