analysis_id,64s46zru8y38177
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
pvalue,0.4498541
mouse_strain,C57BL
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
gene_symbol,Wars2
