parameter_name,center - distance
gene_accession_id,MGI:95835
analysis_id,4430o3s182054no
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
pvalue,0.2458822
gene_symbol,Hspa5
