analysis_id,j4d0ve31m75btdu
parameter_name,Total cholesterol
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
pvalue,0.9836091
gene_accession_id,MGI:1914944
gene_symbol,Ift74
mouse_strain,C57BL
