analysis_id,h4g2g6iay0159l5
mouse_life_stage,Early adult
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
pvalue,0.6730713
gene_symbol,Psmd14
mouse_strain,C57BL
gene_accession_id,MGI:1913284
