gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_id,M-G-P_014_001_009
analysis_id,vex7u76o911aof7
pvalue,0.9562184
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,lens
