gene_symbol,Rap2b
analysis_id,e491zk5y299y04s
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
pvalue,0.2969209
