parameter_name,Glucose
gene_symbol,Hspa5
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2264033
analysis_id,9q6m6435pv39xa1
gene_accession_id,MGI:95835
