gene_symbol,Psd4
analysis_id,23i56159gf1ht38
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
pvalue,0.1056818
