parameter_name,Chloride
gene_symbol,Car13
analysis_id,00harp380653o8f
gene_accession_id,MGI:1931322
pvalue,0.3620099
mouse_strain,C57BL
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
