mouse_strain,129SV
pvalue,0.1239893
analysis_id,97o054hfef4ec0i
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
parameter_name,Total T cells - % of CD45+
