parameter_name,Gait
pvalue,0.7222828
mouse_strain,C57BL
parameter_id,IMPC_CSD_033_001
analysis_id,hhzxb4447tj5d44
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
