gene_symbol,Rab22a
pvalue,0.2965897
parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
analysis_id,sh6gp2b4a29q0n3
gene_accession_id,MGI:105072
mouse_strain,C57BL
